user,text
@TwitterSpaces,Heads up that we’re doing some maintenance on our infrastructure to help us handle bigger Spaces! There may be some minor turbulence in the next day or so as we flip some switches and turn some knobs. Thanks for hanging with us!
@TwitterSupport,"Looking for something? Now on web, you can search for Lists to find new ones you want to follow. Give it a try and let us know what you think!"
@TwitterSupport,"We’ll begin replacing that ""official"" profile label with a grey or gold checkmark, but you will still see labels for some types of accounts. Learn more:"
@TwitterSupport,"If you start seeing a checkmark that's not blue, you're doing it right. We’re adding more account distinctions. Gold checkmarks will appear on verified, official businesses on Twitter. And coming soon, grey checkmarks will appear on government and multilateral accounts."
@TwitterSupport,"Already verified through the old process? You won’t lose your blue checkmark at this time. However, all accounts with blue checkmarks that change their display name or profile photo will lose their check until their account can be reviewed."
@TwitterSupport,"Not all moments last. As of today we’re removing the option to create Moments for most users as we focus on improving other experiences. Don’t worry, you can still see past Moments and follow Live events on Twitter."
@TwitterSupport,A small number of you on iOS may have received the notice “Some settings failed to save” when changing your protected Tweets settings recently. We’ve fixed this and you should be able to protect your Tweets without issue. We apologize for any concern this may have caused.
@TwitterSupport,"We want to ensure everyone on Twitter sees the best content on the platform, so we’re expanding recommendations to all users, including those who may not have seen them in the past. You can learn more about them, and how to best control your experience:"
@TwitterSupport,"To clear up confusion about two-factor authentication on Twitter –– it’s still live and a good way to protect your account. If you have it turned on, your chosen authentication method should be good to go. We’re looking into the few cases where SMS codes aren't being delivered."
@TwitterSupport,"To combat impersonation, we’ve added an “Official” label to some accounts."
@TwitterSupport,We’re not currently putting an “Official” label on accounts but we are aggressively going after impersonation and deception.
@TwitterSupport,"Reminding you to keep your login details safe and step away from unsafe URLs. If you see a suspicious email, message, or notice that looks like it’s from us, remember we'll never ask for login info via email, DM, or non-Twitter website."
@TwitterSupport,We see you’re having fun with the new stickers in the photo editor. Us too.
@TwitterSupport,We are aware of an issue with some Tweets showing an incorrect self-like and are working to resolve this. Thanks for your patience.
@TwitterBlue,"the Edit Tweet test is expanding and now rolling out to Twitter Blue members in the US go ahead, try it out!"
,
@TwitterSupport,And we’re back! We had some trouble with our internal systems that impacted many of you globally. Twitter should be up and running as expected — sorry for the interruption.
@TwitterSupport,Some of you are having issues accessing Twitter and we’re working to get it back up and running for everyone. Thanks for sticking with us.
@TwitterSafety,"Sometimes you want to see yourself out. Take control of your mentions and leave a conversation with Unmentioning, now rolling out to everyone on all devices."
